Year,Month,Day,DocNo,Machine Name,Producted Item.Code,Producted Item.Name,ProducedQty,ScrapQtySum,AvgRejectPct,Reject_Status,RMCount,Reject_Limit_Status,Reject_Limit.AvgRejectPct_Item
2026,April,22,MS-26-04715,PARKER#01,BOT-GEL-1000,GEL BOTTLE  1000 ML W/O NECK,,0.07,,No data,1,No data,1.56%
2026,April,23,MS-26-04716,Huarong#32,3WAY-HOU-4,3WAYHOUSING4,,0.02,,No data,1,No data,0.34%
2026,April,23,MS-26-04717,HUARONG#33,3WAY-HOU-5,3WAY HOUSING-5,,0.02,,No data,1,No data,0.36%
2026,April,23,MS-26-04718,COLIMATIC-90-2,G-721-2590,"SPINALNEEDLEQUINCKEBEVELWITHINTRODUCERNEEDLEG25X3.5""-ORANGE",,1.06,,No data,3,No data,
2026,April,23,MS-26-04719,ARBURG#12,IV-NP-24-K1,NEEDLEHOLDERG24W/P,,0.04,,No data,1,No data,
2026,April,23,MS-26-04720,SUPER MASTER #23,IV-NP-24-K1,NEEDLEHOLDERG24W/P,,0.05,,No data,1,No data,
2026,April,23,MS-26-04721,Super Master#25,3WAY-KNOB-4,KNOB FOR 3WAY STOPCOCK-4,,0.01,,No data,1,No data,0.09%
2026,April,20,MS-26-04722,PAKAGING AREA,G-072-2225,IV CANNULA G22X25MM,8500,2.2,0.03%,Acceptable 🟢,1,Above usual 🔺,0.01%
2026,April,20,MS-26-04723,PAKAGING AREA,G-162-1180,YANKUR SUCTION SET 180CM,2800,2.8,0.05%,Acceptable 🟢,2,Below usual 🔻,0.54%
2026,April,23,MS-26-04724,INJECTION AREA,IV-BS-2,BLOODSTOPPER-2,51633,33,0.06%,Acceptable 🟢,1,Above usual 🔺,0.06%
2026,April,23,MS-26-04725,INJECTION AREA,3WAY-M-CAP,3WAYMALECAP,61691,25,0.04%,Acceptable 🟢,1,Below usual 🔻,0.16%
2026,April,23,MS-26-04726,INJECTION AREA,F-S-HOLDER,FACESHEILDHOLDER,2399,23,0.96%,Acceptable 🟢,1,Above usual 🔺,0.48%
2026,April,23,MS-26-04727,INJECTION AREA,IV-HS-YL,CATHETERHUBG24W/OP,23469,55,0.23%,Acceptable 🟢,1,Below usual 🔻,0.23%
2026,April,23,MS-26-04728,INJECTION AREA,YAN-CON-UV,YANKAUERCONNECTORUNIVERSAL,14704,27,0.18%,Acceptable 🟢,1,Below usual 🔻,0.23%
2026,April,23,MS-26-04729,INJECTION AREA,IV-NP24-K-1,NEEDLEHOLDERW/PG24W/OSMMPNEEDLEHOLDERW/PG24KAHL,35025,25,0.07%,Acceptable 🟢,1,Below usual 🔻,0.10%
2026,April,23,MS-26-04730,INJECTION AREA,3WAY-KNOB-4,KNOB FOR 3WAY STOPCOCK-4,25605,17,0.07%,Acceptable 🟢,1,Below usual 🔻,0.09%
2026,April,23,MS-26-04731,INJECTION AREA,BC-H-CAP,BC BAG HOLDER CAP,13107,41,0.31%,Acceptable 🟢,1,Below usual 🔻,0.36%
2026,April,23,MS-26-04732,INJECTION AREA,MALE-CON-LL-2,MALE CONNECTOR LUER LOCK NEW,29754,45,0.15%,Acceptable 🟢,1,Below usual 🔻,0.33%
2026,April,23,MS-26-04733,INJECTION AREA,EP-UNIV,ENDPLUG-2,40675,25,0.06%,Acceptable 🟢,1,Below usual 🔻,0.08%
2026,April,23,MS-26-04734,INJECTION AREA,YAN-H-CTV,YANKAUERHANDLECTV,579,5,0.86%,Acceptable 🟢,1,Above usual 🔺,0.65%
2026,April,23,MS-26-04735,INJECTION AREA,YAN-H-CTV,YANKAUERHANDLECTV,6903,21,0.30%,Acceptable 🟢,1,Below usual 🔻,0.65%
2026,April,23,MS-26-04736,INJECTION AREA,3WAY-HOU-4,3WAYHOUSING4,14138,55,0.39%,Acceptable 🟢,1,Above usual 🔺,0.34%
2026,April,23,MS-26-04737,INJECTION AREA,3WAY-HOU-5,3WAY HOUSING-5,14449,33,0.23%,Acceptable 🟢,1,Below usual 🔻,0.36%
